Gene,Category,Cohort,g_II_III,g_III_IV,Delta_g,CI_lo,CI_hi,p_boot,BH_p
VWF,Gain,CGGA,0.20499999320751847,0.6440512964347513,0.43905130322723285,0.12196273313845515,0.8115728377807878,0.006,0.016
EMCN,Gain,TCGA,0.3266066804690496,-0.0650744015575619,-0.3916810820266115,-0.5956075791449275,-0.15962155050642243,0.002,0.0031111111111111114
EMCN,Gain,CGGA,-0.015738965479472195,0.1005502218395045,0.1162891873189767,-0.1882690909945069,0.47334382222600513,0.516,0.6354782608695652
KDR,Gain,TCGA,0.37337173891570563,0.7702231629189257,0.39685142400322004,0.14650685937891794,0.6697520298340407,0.004,0.005894736842105263
KDR,Gain,CGGA,-0.02404599647045966,0.40715002336447736,0.43119601983493705,0.10948583109615759,0.8050195325929972,0.006,0.016
ANGPT2,Gain,TCGA,0.6148331859721085,1.7668576827749507,1.1520244968028424,0.8615507879059423,1.4649634581750348,0.0,0.0
ANGPT2,Gain,CGGA,0.20772195609762023,0.9813481747572235,0.7736262186596032,0.4333105762645483,1.136941921219486,0.0,0.0
PLVAP,Gain,TCGA,0.3088503195469265,0.8617132161689122,0.5528628966219857,0.31213931166828524,0.8112871107212156,0.0,0.0
PLVAP,Gain,CGGA,0.2194441536719797,0.7734606107560712,0.5540164570840915,0.233070650840936,0.934399652365358,0.0,0.0
COL4A1,Gain,TCGA,0.8039808080851475,1.9887648078514701,1.1847839997663225,0.8775290862222476,1.5126420022202316,0.0,0.0
COL4A1,Gain,CGGA,0.14974651837089223,1.4692367380246787,1.3194902196537865,0.9403502844846565,1.7389212676989234,0.0,0.0
COL4A2,Gain,TCGA,0.7937753749231024,1.775799846281153,0.9820244713580507,0.7174362234428524,1.2872130103283113,0.0,0.0
COL4A2,Gain,CGGA,0.1519696163180515,1.4647280996787397,1.3127584833606882,0.9097208536878956,1.7425684823149297,0.0,0.0
LAMA2,Gain,TCGA,0.5310388719853565,1.407550392963564,0.8765115209782075,0.6416179725693926,1.1312770509584997,0.0,0.0
LAMA2,Gain,CGGA,-0.09699423557474056,0.7144045951753946,0.8113988307501351,0.4965175491608919,1.1946973376069308,0.0,0.0
LAMB2,Gain,TCGA,0.3866601424257851,1.3088625156811242,0.922202373255339,0.6714929983005146,1.1940137586667616,0.0,0.0
LAMB2,Gain,CGGA,0.17049741137009647,0.17789924228731024,0.007401830917213775,-0.3250820657040067,0.3465406944220889,0.958,0.9934814814814814
LAMC1,Gain,TCGA,0.7196550371545786,1.9667461092684333,1.2470910721138546,0.964442091222638,1.5580541017841458,0.0,0.0
LAMC1,Gain,CGGA,0.008823462431859512,1.1342233044958359,1.1253998420639764,0.7988674422730366,1.5024291408644754,0.0,0.0
HSPG2,Gain,TCGA,0.6831600282350342,1.5849102667400379,0.9017502385050037,0.6246141353454665,1.1752763219506714,0.0,0.0
HSPG2,Gain,CGGA,0.21607602697825845,1.1596688290104802,0.9435928020322217,0.5849604343968101,1.336695008681331,0.0,0.0
AGRN,Gain,TCGA,0.31944036393214326,0.2739242474217408,-0.04551611651040244,-0.28625206475206727,0.203831435190665,0.694,0.7197037037037036
AGRN,Gain,CGGA,0.21895868697062845,0.04368376053578991,-0.17527492643483855,-0.48640520557375094,0.1878805686509317,0.302,0.41248780487804876
VCAN,Gain,TCGA,-0.06917298496280173,0.4290422124337673,0.498215197396569,0.26073226801411714,0.7181513589921592,0.0,0.0
VCAN,Gain,CGGA,-0.13709741271775522,-0.2867325723587691,-0.14963515964101387,-0.5044226001948039,0.16986758761711074,0.354,0.472
CSPG4,Gain,TCGA,0.1808451116112185,0.5367802727506443,0.3559351611394258,0.11642469829643057,0.5884993407844341,0.006,0.008400000000000001
CSPG4,Gain,CGGA,0.2905095252710676,0.10688984863550104,-0.18361967663556655,-0.5009118063861715,0.1499618977141846,0.276,0.3864
MMP2,Gain,TCGA,0.7013722261348144,0.6348289836931609,-0.06654324244165355,-0.3044989046056463,0.17397964296778273,0.614,0.6487547169811321
MMP2,Gain,CGGA,0.28359527469055057,0.3136426297077054,0.03004735501715483,-0.29873184174060574,0.35421010529217994,0.85,0.9520000000000001
MMP9,Gain,TCGA,0.4257005851359291,1.5918097940328988,1.1661092088969696,0.905453380118002,1.4192588189001867,0.0,0.0
MMP9,Gain,CGGA,0.2327592654311774,1.330520166930811,1.0977609014996337,0.7261847961277808,1.4375324429562104,0.0,0.0
TIMP1,Gain,TCGA,0.6596962140587129,1.8437202776756971,1.184024063616984,0.8854743620276755,1.4838855680980334,0.0,0.0
TIMP1,Gain,CGGA,0.24121952037858976,0.8243163985063381,0.5830968781277484,0.2675964426683626,0.9443095670169861,0.0,0.0
FN1,Gain,TCGA,0.5862769714648588,2.0225018879263184,1.4362249164614596,1.1516526150824853,1.7549445536136383,0.0,0.0
FN1,Gain,CGGA,0.16015334423964098,1.1170505506935684,0.9568972064539274,0.6086565501928555,1.3341791102876717,0.0,0.0
COL1A1,Gain,TCGA,0.563175152155872,1.1205666851767049,0.5573915330208329,0.31173462361445,0.794211958337193,0.0,0.0
COL1A1,Gain,CGGA,0.02992540453024977,1.1852829752447431,1.1553575707144934,0.7804554355797334,1.533545784949012,0.0,0.0
COL1A2,Gain,TCGA,0.6618285693477692,1.5517945021075368,0.8899659327597675,0.6319508710013749,1.1411446787641712,0.0,0.0
COL1A2,Gain,CGGA,-0.007137225156643317,1.285274847226177,1.2924120723828203,0.9030931352344775,1.6820191066611831,0.0,0.0
IL1B,Gain,TCGA,0.07859044260286603,0.4679512529252436,0.38936081032237757,0.1350922673144011,0.6548467450333038,0.0,0.0
IL1B,Gain,CGGA,-0.04329907047459912,0.436179469308697,0.47947853978329613,0.1422578174546732,0.8244625048562088,0.004,0.011789473684210527
TNF,Gain,TCGA,0.003109452889003408,-0.4253692552076088,-0.4284787080966122,-0.6689164329997053,-0.20300077677922557,0.0,0.0
TNF,Gain,CGGA,-0.0018538865759041992,-0.2855497360896362,-0.283695849513732,-0.5753209127042148,0.057004413650589274,0.104,0.20082758620689656
CCL2,Gain,TCGA,0.24671131573513147,0.8488663202448509,0.6021550045097194,0.33385957559212415,0.8444507814339544,0.0,0.0
CCL2,Gain,CGGA,-0.07476594850993326,0.5648611368643139,0.6396270853742472,0.3346776153860373,0.9949966021310962,0.0,0.0
CXCL10,Gain,TCGA,0.5952748816942796,1.0048506869042717,0.40957580520999215,0.15440619882805526,0.6587589731475998,0.0,0.0
CXCL10,Gain,CGGA,0.2766038052584061,0.6987684687493678,0.4221646634909617,0.14796769628446205,0.7456667066579045,0.002,0.006222222222222223
TREM2,Gain,TCGA,0.22755783248479036,0.7663127166068895,0.5387548841220992,0.2619415733951213,0.7944480375114114,0.002,0.0031111111111111114
TREM2,Gain,CGGA,0.23343456299056403,0.017115177016477412,-0.21631938597408662,-0.5549130757375988,0.11224601547866264,0.204,0.32639999999999997
AIF1,Gain,TCGA,0.09697118433584448,0.38560192302907864,0.2886307386932342,0.024892093065060402,0.5365013828596339,0.024,0.030545454545454546
AIF1,Gain,CGGA,0.18156445001565996,-0.11089328839404651,-0.29245773840970646,-0.6294207334619651,0.01730702741511613,0.064,0.13784615384615384
TYROBP,Gain,TCGA,0.2764191038926986,0.5394350257112825,0.26301592181858396,0.012657986933648377,0.5058933602897862,0.048,0.056
TYROBP,Gain,CGGA,0.1771690423477092,0.19935680146988988,0.022187759122180684,-0.29781451598524605,0.364294166867548,0.886,0.9541538461538461
CSF1R,Gain,TCGA,0.007814573879254895,0.14833425831471167,0.1405196844354568,-0.09512890149140399,0.3970980751526134,0.244,0.26276923076923075
CSF1R,Gain,CGGA,-0.08439861520573061,-0.06818743051962986,0.01621118468610075,-0.3263391378600364,0.3317389829839619,0.936,0.9889811320754718
CD68,Gain,TCGA,0.18167287497375334,0.002968332194503118,-0.17870454277925021,-0.4215354701038992,0.05603683055602976,0.134,0.1471372549019608
CD68,Gain,CGGA,0.1698545195106583,0.2953983150919505,0.12554379558129222,-0.18902689972220044,0.4322474694034003,0.456,0.5803636363636364
C1QA,Gain,TCGA,0.363157959430589,1.013044880173709,0.6498869207431202,0.3867758496029624,0.91359827874288,0.0,0.0
C1QA,Gain,CGGA,0.3071047977233524,0.28630722725629976,-0.020797570467052662,-0.35910065710649597,0.3218834653180277,0.87,0.9541538461538461
C1QB,Gain,TCGA,0.3734254841191671,0.8941077702902391,0.520682286171072,0.28789873196723575,0.7673901821414718,0.0,0.0
C1QB,Gain,CGGA,0.25321632316987136,0.16459793497367411,-0.08861838819619725,-0.42682940937209435,0.22118498411857074,0.594,0.693
C1QC,Gain,TCGA,0.356416201696206,0.7137405187494781,0.35732431705327206,0.1142069560145292,0.5966240531323022,0.002,0.0031111111111111114
C1QC,Gain,CGGA,0.10630742509927936,0.31612252628676624,0.20981510118748686,-0.11378802894870342,0.5576211518328692,0.212,0.3297777777777778
MFSD2A,Ambiguous,TCGA,0.29890608669688806,0.022750167635676305,-0.27615591906121173,-0.5219793063507077,-0.027357350175795707,0.024,0.030545454545454546
MFSD2A,Ambiguous,CGGA,0.1797439627224555,-0.12011914394137937,-0.29986310666383487,-0.6129614010149159,0.02410621464669659,0.072,0.14933333333333335
SLC2A1,Ambiguous,TCGA,0.05796328316301563,0.6044815996191328,0.5465183164561171,0.28623621197933224,0.7728849346430515,0.0,0.0
SLC2A1,Ambiguous,CGGA,-0.12844907903721706,0.4046159125752186,0.5330649916124357,0.24440419105686104,0.9061967599000849,0.0,0.0
ABCB1,Ambiguous,TCGA,0.1663457355579488,-0.8646657494047848,-1.0310114849627336,-1.277850481346455,-0.7801747599637003,0.0,0.0
ABCB1,Ambiguous,CGGA,-0.11453795020871729,-0.33864054904309215,-0.22410259883437486,-0.540350226632729,0.10250898652987607,0.176,0.2898823529411765
