"sample_id","Endfoot_Organization","Homeostatic_Astrocytes","Reactive_Astrocytes","BBB_Specialization","Endothelial_Angiogenesis","Basement_Membrane","ECM_Remodeling","Neuroinflammation"
"CGGA_1350",-0.85264417552847,-0.693707822613968,-0.557096013518418,-0.906807156689184,-0.75514276387146,-0.693124162931052,-0.299351591800974,-0.659490527221642
"CGGA_1353",1.96274099975749,0.0842504827939961,-0.14697541555408,-0.0934162595179224,1.18230259636755,1.24982635690658,0.908737339084586,0.16284792576835
"CGGA_1354",-0.0492632027636955,-0.0629916256677021,0.19135550583033,0.641043253271134,1.62698700911611,2.06004498157875,0.482651268321654,-0.335905916785299
"CGGA_1356",0.190954701726439,0.544699988287404,-0.140115355722356,-0.269364713754682,-0.366935926450183,-0.52877178757855,-0.421511136629528,-0.329869921061008
"CGGA_1359",0.352281836906293,0.0729787212742786,2.30336079089047,-0.287477841634365,-0.119132675551987,0.87964203815778,-0.0569695371980274,-0.126419652741981
"CGGA_1361",0.625556593039631,0.903994178472763,-0.369004258693677,0.459356603758728,-0.525559567108795,-0.510296951251973,-0.25741865510262,-0.399158052618245
"CGGA_1362",0.575635879440614,0.349147187177,-0.0685657169810654,0.281437875457588,-0.374281583850711,-0.533064791112834,-0.325226609521549,0.137827287828611
"CGGA_1365",-1.09862724941214,-0.992175464608537,-0.651678579868223,-1.14651702171834,-0.742786348060704,-0.397053818530408,-0.184182896635375,-0.586254283133463
"CGGA_1368",-0.911856348544953,-0.755744927471486,-0.710904481872264,-0.953682873606153,-0.800776615617948,-0.714070098636733,0.146609172294816,-0.686116473399577
"CGGA_1369",-0.669170138510733,-0.563610383823168,-0.336742794908889,-0.642160598743463,-0.595019761621152,-0.409345523505709,-0.238116426729103,0.127189353042227
"CGGA_1371",0.303874882693066,-0.40269089631679,1.36357661690347,0.0640038096915587,0.443966370029001,0.60170696114657,-0.107348928830021,0.175560264508057
"CGGA_1377",-0.0270378743090678,0.241432336048335,-0.181566872487716,0.279412972704501,-0.538540948413131,-0.40677836070623,0.124167377485401,-0.0177071617759265
"CGGA_1378",-0.998884482358864,-0.985913630830916,-0.596702603516898,-1.04020995397305,-0.482274969906034,-0.529269439201763,-0.193180747539535,-0.367086627908019
"CGGA_1380",0.756172699517569,0.266090515977466,0.539010613466909,0.987721382125844,0.420577949552491,0.173236686524489,-0.174288999694303,0.110150941706419
"CGGA_1382",3.6074059788279,1.82592214233042,1.01238982500439,0.81095844585827,0.434268722622899,0.111790493854987,0.163895504177587,-0.278719302271486
"CGGA_1383",-0.814216040267597,-0.512026801933015,-0.234506100883877,-0.552376930463089,-0.406004050086785,-0.408951454008059,-0.278813434307531,-0.513732093240536
"CGGA_1386",-0.735037779838471,-0.0513839613277255,-0.139870706695929,-0.29291507801435,-0.538502386063315,-0.334057853154065,-0.206463548422445,0.0203055594727918
"CGGA_1387",1.00513916982207,0.372984025883698,0.180516507481209,0.586092823116147,1.02888758736242,0.942972115925165,0.370571746138238,-0.405175768776015
"CGGA_1389",-0.507042540902875,-0.301082693699738,-0.357481767437345,-0.0870499147129719,-0.58831886164977,-0.54415886777235,-0.231331418282349,-0.566501514814271
"CGGA_139",0.336824880276706,0.565475387277924,-0.432678973156303,-0.164660677815904,-0.368661421127685,-0.516026353272101,-0.356550690830686,-0.531148955655453
"CGGA_1390",-0.104599701920049,0.140509072633713,0.370543937653172,0.338187984431137,-0.0506349225538983,-0.303177612561016,-0.378311101522426,-0.363708852605039
"CGGA_1391",0.817238122732116,0.0656673045039057,0.884541879083398,-0.130925851082422,-0.250221208444009,0.162659185155349,-0.146774254243412,-0.128527393927287
